Conversation ID,Created At,Agent ID,Message Role,Message Text
AIA543765,2025-01-15 17:06:51 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,N/A,No transcript available
AIA744188,2025-01-15 17:08:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,N/A,No transcript available
AIA795354,2025-01-15 17:08:56 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,N/A,No transcript available
AIA289216,2025-01-15 17:15:46 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hi there
AIA289216,2025-01-15 17:15:46 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
AIA289216,2025-01-15 17:15:46 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Did you catch the football match last night? What a game! Who do you usually support?
AIA289216,2025-01-15 17:15:46 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
AIA289216,2025-01-15 17:15:46 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,สวัสดีครับ! คุณได้ดูการแข่งขันฟุตบอลเมื่อคืนนี้หรือเปล่าครับ? เป็นเกมที่น่าตื่นเต้นมาก! ปกติแล้วคุณเชียร์ทีมไหนครับ?
AIA642714,2025-01-15 17:16:52 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hi there
AIA642714,2025-01-15 17:16:52 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
AIA642714,2025-01-15 17:16:52 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Did you catch the football match last night? What a game! Who do you usually support?
AIA642714,2025-01-15 17:16:52 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
AIA642714,2025-01-15 17:16:52 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hello! Have you tried that new street food stall just beside this cafe? Their Pad Thai is amazing! Do you usually eat before or after client meetings?
AIA506833,2025-01-15 17:17:53 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hi there
AIA506833,2025-01-15 17:17:53 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
AIA506833,2025-01-15 17:17:53 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Did you catch the football match last night? What a game! Who do you usually support?
AIA506833,2025-01-15 17:17:53 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
AIA506833,2025-01-15 17:17:53 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hello! Have you tried that new street food stall just beside this cafe? Their Pad Thai is amazing! Do you usually eat before or after client meetings?
AIA099135,2025-01-15 17:18:19 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hi there
AIA099135,2025-01-15 17:18:19 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,Hi.
AIA099135,2025-01-15 17:18:19 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Did you catch the football match last night? What a game! Who do you usually support?
AIA099135,2025-01-15 17:18:19 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,"Uh, the rating."
AIA099135,2025-01-15 17:18:19 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,"Ah, I see. Are you not much of a football fan? What do you usually watch during your free time? I recently watched Squid Game 2 and it's really good, can't wait for the next season."
AIA501521,2025-01-15 17:19:11 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,สวัสดี!
AIA501521,2025-01-15 17:19:11 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,Sony Khan.
AIA501521,2025-01-15 17:19:11 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,คุณได้ดูฟุตบอลเมื่อคืนนี้หรือเปล่า? เกมมันส์มากเลย! คุณเชียร์ทีมไหนเป็นพิเศษหรือเปล่าครับ?
AIA501521,2025-01-15 17:19:11 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,Solid cup.
AIA501521,2025-01-15 17:19:11 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,ผมเองก็ชอบดูบอลเหมือนกันครับ บางครั้งก็รู้สึกเหมือนแข่งกันเองเลย คุณมีทีมโปรดไหมครับ?
AIA703731,2025-01-15 17:24:05 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hi there
AIA703731,2025-01-15 17:24:05 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,Hi there
AIA703731,2025-01-15 17:24:05 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,สวัสดีครับ! คุณได้ลองชิมอาหารจากร้านอาหารข้างๆ คาเฟ่นี้หรือยังครับ? ผัดไทยของเขาอร่อยมากเลย! คุณมักจะทานอาหารก่อนหรือหลังการประชุมกับลูกค้าครับ?
AIA703731,2025-01-15 17:24:05 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,speak only in english
AIA703731,2025-01-15 17:24:05 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,"I'm sorry, but I was expecting to have this conversation in Thai. If you prefer, we can continue in Thai. Let me know how you'd like to proceed!"
AIA081327,2025-01-15 17:25:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hi there
AIA081327,2025-01-15 17:25:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
AIA081327,2025-01-15 17:25:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Did you catch the football match last night? What a game!
AIA081327,2025-01-15 17:25:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,yeah I did it was amazing
AIA081327,2025-01-15 17:25:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Who do you usually support?
AIA081327,2025-01-15 17:25:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,arsenal
AIA081327,2025-01-15 17:25:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,"Ah, Arsenal! They've been having quite a season. I'm more of a local league fan myself. Anyway, let's get to why we're here. Can you tell me a bit about what you're looking for in terms of insurance?"
AIA432714,2025-01-15 17:26:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hi there
AIA432714,2025-01-15 17:26:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
AIA432714,2025-01-15 17:26:36 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,สวัสดีครับ! อากาศวันนี้บ้าจริง ๆ เลยนะครับ ทำให้อยากอยู่ในบ้านแล้วกินอะไรอร่อย ๆ คุณชอบกินอะไรในช่วงอากาศแบบนี้บ้างครับ?
AIA729976,2025-01-15 17:26:41 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Customer,Hi there
AIA729976,2025-01-15 17:26:41 (GMT+7),655e19e7-0659-4055-8bcc-277118c04933,Agent,hi
